STATEFIPS,STATE,COUNTYFIPS,COUNTYNAME,N1,A00100,A06500
04,AZ,000,"Arizona",3400000,260000000,30000000
04,AZ,013,"Maricopa County",2150000,180000000,22500000
04,AZ,019,"Pima County",480000,31000000,3300000
04,AZ,005,"Coconino County",65000,4200000,420000
51,VA,059,"Fairfax County",560000,75000000,11200000
06,CA,037,"Los Angeles County",4500000,420000000,52000000
48,TX,201,"Harris County",2100000,190000000,24000000
35,NM,028,"Los Alamos County",9800,1450000,182000
21,KY,237,"Wolfe County",2400,77000,3900
17,IL,031,"Cook County",2450000,260000000,34000000
53,WA,033,"King County",1150000,160000000,23500000
